claim_or_table,method,metric,value,split,seed,source_file,source_line_or_key,reproduced_or_reported,notes
Main Table 1,AMPT,NC,98.5,NAVSIM v1 navtest,20260726,outputs/pdms914497_reverse_conflict_residual_trust105_scale14p3_full_navtest_seed20260726_20260727/candidate/local_sharded_aggregated.csv,no_at_fault_collisions mean,reproduced,12138 scene rows after excluding the explicit average row; rounds to the paper value
Main Table 1,AMPT,DAC,98.0,NAVSIM v1 navtest,20260726,outputs/pdms914497_reverse_conflict_residual_trust105_scale14p3_full_navtest_seed20260726_20260727/candidate/local_sharded_aggregated.csv,drivable_area_compliance mean,reproduced,12138 scene rows after excluding the explicit average row; rounds to the paper value
Main Table 1,AMPT,TTC,96.0,NAVSIM v1 navtest,20260726,outputs/pdms914497_reverse_conflict_residual_trust105_scale14p3_full_navtest_seed20260726_20260727/candidate/local_sharded_aggregated.csv,time_to_collision_within_bound mean,reproduced,12138 scene rows after excluding the explicit average row; rounds to the paper value
Main Table 1,AMPT,C,100.0,NAVSIM v1 navtest,20260726,outputs/pdms914497_reverse_conflict_residual_trust105_scale14p3_full_navtest_seed20260726_20260727/candidate/local_sharded_aggregated.csv,comfort mean,reproduced,12138 scene rows after excluding the explicit average row
Main Table 1,AMPT,EP,86.7,NAVSIM v1 navtest,20260726,outputs/pdms914497_reverse_conflict_residual_trust105_scale14p3_full_navtest_seed20260726_20260727/candidate/local_sharded_aggregated.csv,ego_progress mean,reproduced,12138 scene rows after excluding the explicit average row; rounds to the paper value
Main Table 1,AMPT,PDMS,91.4,NAVSIM v1 navtest,20260726,outputs/pdms914497_reverse_conflict_residual_trust105_scale14p3_full_navtest_seed20260726_20260727/candidate/local_sharded_aggregated.csv,score mean,reproduced,12138 scene rows; raw mean 0.9145046521; paper reports one decimal
Main Table 3,AMPT,NC,98.4,NAVSIM v2 navtest,not recorded,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,no_at_fault_collisions mean,reproduced,12146 scene rows
Main Table 3,AMPT,DAC,97.7,NAVSIM v2 navtest,not recorded,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,drivable_area_compliance mean,reproduced,12146 scene rows
Main Table 3,AMPT,DDC,99.0,NAVSIM v2 navtest,not recorded,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,driving_direction_compliance mean,reproduced,12146 scene rows
Main Table 3,AMPT,TLC,99.7,NAVSIM v2 navtest,not recorded,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,traffic_light_compliance mean,reproduced,12146 scene rows
Main Table 3,AMPT,TTC,97.7,NAVSIM v2 navtest,not recorded,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,time_to_collision_within_bound mean,reproduced,12146 scene rows
Main Table 3,AMPT,EP,89.4,NAVSIM v2 navtest,not recorded,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,ego_progress mean,reproduced,12146 scene rows
